idx,Date,symbol,5adjustedclose,pred_01,truth,X,X,X
5577,10/25/2018,PBH,36.3,0.29%,-5.92%,0.103470039,-2.15,-2.15
9047,10/1/2018,VRNT,24.9567,0.29%,-8.80%,0.073513871,-2.1956,-2.1956
8484,8/24/2021,SLN,23.3,0.24%,-9.53%,0.056840639,-2.22,-2.22
8620,3/9/2022,SLN,18.2,0.26%,-12.23%,0.047253606,-2.225,-2.225
8436,6/16/2021,SLN,27.02,0.32%,-8.36%,0.085917602,-2.26,-2.26
9184,4/18/2019,VRNT,30.866,0.31%,-7.41%,0.097201834,-2.2873,-2.2873
8435,6/15/2021,SLN,28.3126,0.32%,-8.17%,0.090027783,-2.3126,-2.3126
4163,5/21/2018,ODFL,99.1794,0.15%,-2.35%,0.149246262,-2.3273,-2.3273
5044,11/17/2021,ODFL,359.564,0.25%,-0.65%,0.90364179,-2.34,-2.34
9185,4/22/2019,VRNT,31.3754,0.31%,-7.52%,0.098806013,-2.3586,-2.3586
5964,5/12/2020,PBH,39.6,0.27%,-5.96%,0.108703932,-2.36,-2.36
9372,1/16/2020,VRNT,29.837,0.38%,-7.96%,0.112636406,-2.3739,-2.3739
6338,11/3/2021,PBH,61.41,0.19%,-3.91%,0.113948024,-2.4,-2.4
9467,6/3/2020,VRNT,24.1824,0.30%,-9.99%,0.071558727,-2.4147,-2.4147
8417,5/19/2021,SLN,26.73,0.32%,-9.08%,0.084995466,-2.4276,-2.4276
672,11/5/2020,BTAI,53.69,0.18%,-4.53%,0.095360581,-2.43,-2.43
8569,12/23/2021,SLN,23.4,0.24%,-10.41%,0.056359883,-2.435,-2.435
8564,12/16/2021,SLN,23.44,0.23%,-10.41%,0.053752238,-2.44,-2.44
969,1/11/2022,BTAI,20.6,0.25%,-11.84%,0.052066051,-2.44,-2.44
8369,3/11/2021,SLN,24.7848,0.33%,-9.86%,0.082492187,-2.4446,-2.4446
6380,1/4/2022,PBH,61.88,0.26%,-3.98%,0.158252512,-2.46,-2.46
5886,1/21/2020,PBH,41.74,0.23%,-5.94%,0.096500438,-2.48,-2.48
9937,4/13/2022,VRNT,52.88,0.22%,-4.73%,0.117023186,-2.5,-2.5
6012,7/21/2020,PBH,39.06,0.26%,-6.43%,0.100917666,-2.51,-2.51
102,8/2/2018,BTAI,10.765,0.34%,-23.36%,0.03658907,-2.515,-2.515
6400,2/2/2022,PBH,58.44,0.23%,-4.31%,0.131900576,-2.52,-2.52
5987,6/15/2020,PBH,40.23,0.24%,-6.26%,0.097903535,-2.52,-2.52
8614,3/1/2022,SLN,19.945,0.32%,-12.71%,0.063200892,-2.535,-2.535
2495,8/7/2017,CSR,50.6486,0.34%,-5.01%,0.173765009,-2.5395,-2.5395
5409,2/27/2018,PBH,34.86,0.34%,-7.31%,0.118497395,-2.55,-2.55
9734,6/24/2021,VRNT,45.45,0.21%,-5.65%,0.093712491,-2.57,-2.57
3376,2/5/2021,CSR,67.9284,0.19%,-3.85%,0.128476386,-2.6177,-2.6177
6393,1/24/2022,PBH,58.7,0.22%,-4.50%,0.128588954,-2.64,-2.64
1318,3/5/2018,CDTX,6.75,0.32%,-39.26%,0.021409376,-2.65,-2.65
2540,10/10/2017,CSR,51.9181,0.38%,-5.18%,0.197840363,-2.6919,-2.6919
126,9/6/2018,BTAI,9.1,0.35%,-30.39%,0.031577857,-2.7656,-2.7656
8459,7/20/2021,SLN,25.96,0.28%,-11.02%,0.073834679,-2.8599,-2.8599
8697,6/29/2022,SLN,12.81,0.21%,-22.33%,0.026902526,-2.86,-2.86
2557,11/2/2017,CSR,49.5538,0.21%,-5.79%,0.10319004,-2.8667,-2.8667
504,3/10/2020,BTAI,31.78,0.22%,-9.03%,0.071277557,-2.87,-2.87
2619,2/2/2018,CSR,45.4383,0.32%,-6.35%,0.146538554,-2.8831,-2.8831
9894,2/10/2022,VRNT,53.47,0.22%,-5.40%,0.115702605,-2.89,-2.89
6377,12/30/2021,PBH,62.27,0.19%,-4.64%,0.12042668,-2.89,-2.89
6503,7/1/2022,PBH,59.58,0.19%,-5.00%,0.115456507,-2.98,-2.98
966,1/6/2022,BTAI,19.82,0.25%,-15.14%,0.048640474,-3,-3
8661,5/6/2022,SLN,12.2,0.31%,-24.59%,0.037809258,-3,-3
